,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
436,,2020-03-14 12:46:47,ellarykibor, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,Eldoret kenya,False,Twitter for Android,176,0
437,,2020-03-14 12:46:31,MwanikiCastone,OMG😭!!! I thought Zombies only existed in Movies;will we really curb this pandemic with such people within us😥??… ,en,Juja,False,Twitter Web App,5,7
438,,2020-03-14 12:46:26,MarigaThoithi,Remember when  said that he wouldn't believe the government if it said the truth by accident?That's sort… ,en,"Nairobi, Kenya",False,Twitter for Android,2,4
439,,2020-03-14 12:46:18,RonoChellyrono, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Kitale, Kenya",False,Twitter for Android,254,0
440,,2020-03-14 12:45:55,derekmutuma,Tech way is the best way to handle #coronaInkenya #covid19kenya Where are our app developers?We need real time data/infographics,en,Global,False,Twitter for Android,0,0
441,,2020-03-14 12:45:36,BeingCharlie,Panic buying#CoronaVirusUpdates #coronaInkenya #covid19kenya #rongai ,en,"Nairobi, Kenya",False,Twitter for Android,2,6
442,,2020-03-14 12:45:34,naphtal_ndonga,By the year 2020 tulidhani sai watu watakuwa wanaendesha flying cars but here we are teaching people how to wash their hands.#coronaInkenya,en,"Nakuru, Kenya",False,Twitter for Android,0,0
443,,2020-03-14 12:45:33,murithi_maxwell, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Nairobi, Kenya",False,Twitter for Android,254,0
444,,2020-03-14 12:45:27,KakaJay16, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,Coast,False,Twitter Web App,328,0
445,,2020-03-14 12:45:11,TecitoTeddy, When you hear Corona Virus has also Reached Najjera and you were Showering😂#sesabat #coronavirus #coronaviruschallenge #Corona…,en,"Kampala, Uganda",False,Twitter for Android,2,0
446,,2020-03-14 12:45:06,Jin_Jinaro, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,,False,Twitter for Android,176,0
447,,2020-03-14 12:44:49,citizenkenya80, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Nairobi, Kenya",False,Twitter Web App,254,0
448,,2020-03-14 12:44:26,Red_BucketYTG, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,,False,Twitter for Android,176,0
449,,2020-03-14 12:44:25,YohannaGlory, Good Morning.. #coronaInkenya #CoronaVirusUpdates ,en,Croc city,False,Twitter Web App,618,0
450,,2020-03-14 12:44:21,shohelkhansk," [LIVE] Coronavirus: Real Time Counter, World Map, News - Come hangout and chat - 24x7 live#coronavirus #COVIDー19 #COVID…",en,"Dhaka, Bangladesh",False,Twitter Web App,11,0
451,,2020-03-14 12:43:53,DeniYachina, So lets talk about fake churches n pastors.We hd 1st case #coronaInkenya yesterday bt no man/woman of God frm all these fa…,en,Kiambu Kenya,False,Twitter Web App,1,0
452,,2020-03-14 12:43:50,Lemayian_Jr,"I do not know how true this is, but here goes.#CoronaVirusUpdates #COVID19 #coronaInkenya ",en,Kenya,False,Twitter Web App,0,0
453,,2020-03-14 12:43:38,IsaacMatagaro, All learning institutionsShould be closed #Kenya is not ready for This #CoronavirusPandemic#C…,en,eldoret,False,Twitter for Android,2,0
454,,2020-03-14 12:43:22,IamCounselEJ,But all joke around too much.. Some one created a #coronavirus  account. #covid19kenya #coronaInkenya have… ,en,kampala,False,Twitter for iPhone,1,1
455,,2020-03-14 12:43:13,anthony_254, Who is the smartest schemer??A-Raymond Reddignton B-Michael ScofieldC-Sergio Marquina (Professor)D-Baba#coronaInkenya…,en,Kinoo,False,Twitter for Android,9,0
