36,37,2019-10-12 06:09:45,morning electricity kenya power chooses one goooo enemiesofthepeople switchoffkplc,en,"Nairobi, Kenya",False,Twitter for iPhone,0,3,2019,41,285,October,5,Saturday,6,9,18,130,5.7894736842105265,6,2,0,2,0.0
37,38,2019-10-12 05:14:58,switchoffkplc ineos159challenge ineoschallenge nohumanislimited kotloyals httpstcofzorlfttlh,en,,False,Twitter for Android,0,2,2019,41,285,October,5,Saturday,5,14,8,110,12.875,1,5,0,0,0.0
38,39,2019-10-12 04:51:45,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for iPhone,118,0,2019,41,285,October,5,Saturday,4,51,8,83,8.222222222222221,2,1,0,1,0.0
39,40,2019-10-12 04:45:36,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,4,45,8,83,8.222222222222221,2,1,0,1,0.0
40,41,2019-10-12 04:18:28,firstofficermax never left switchoffkplc,en,,False,Twitter for Android,0,1,2019,41,285,October,5,Saturday,4,18,5,50,8.8,0,1,0,0,0.0
41,42,2019-10-12 04:16:49,bring back dark days switchoffkplc httpstcoswh0yfarmo,en,"Nairobi, Kenya",False,Twitter Web App,0,0,2019,41,285,October,5,Saturday,4,16,7,66,8.571428571428571,1,1,0,0,-0.075
42,43,2019-10-12 04:12:24,rt mboyaapollo knew along kenyapower billing consumers plug hole finances vigilant,en,"Nairobi, Kenya",False,Twitter for Android,158,0,2019,41,285,October,5,Saturday,4,12,25,139,4.791666666666667,10,0,0,1,0.0
43,44,2019-10-12 03:59:40,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for iPad,118,0,2019,41,285,October,5,Saturday,3,59,8,83,8.222222222222221,2,1,0,1,0.0
44,45,2019-10-12 03:53:43,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,nairobi kenya,False,Twitter Web App,118,0,2019,41,285,October,5,Saturday,3,53,8,83,8.222222222222221,2,1,0,1,0.0
45,46,2019-10-12 03:53:06,jymk254 kenyapower_care eliudkipchoge kenyapower denie us chance switchoffkplc unacceptable,en,"Nairobi, Kenya",False,Twitter for Android,0,1,2019,41,285,October,5,Saturday,3,53,16,126,6.9375,5,1,0,0,0.0
46,47,2019-10-12 03:28:49,rt harun_johnson stop sideshows wishes birthdays utility service demand provide reliable service fo,en,Nairobi,False,Twitter for iPhone,13,0,2019,41,285,October,5,Saturday,3,28,22,140,5.409090909090909,7,0,0,1,0.0
47,48,2019-10-12 02:54:05,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,2,54,8,83,8.222222222222221,2,1,0,1,0.0
