0,1,2,3,4,5,6,7
2019-10-11 13:09:18,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 13:06:05,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 13:05:44,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Langas, Eldoret",False,Twitter for Android,119,0
2019-10-11 13:03:12,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 12:44:48,RT @JerotichSeii: @RasnaWarah Prepaid is the final frontier for consumer rip offs. It's a slow bleed. You think you're in control but you'r…,en,,False,Twitter for Android,5,0
2019-10-11 12:40:15,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya ,False,Twitter for Android,119,0
2019-10-11 12:10:09,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 12:10:04,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Flea Bottom,False,Twitter for Android,119,0
2019-10-11 12:10:00,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter Web Client,119,0
2019-10-11 12:09:35,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPad,119,0
2019-10-11 12:08:52,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,The Jackdaw,False,Twitter for Android,119,0
2019-10-11 12:05:32,RT @JerotichSeii: @RasnaWarah Prepaid is the final frontier for consumer rip offs. It's a slow bleed. You think you're in control but you'r…,en,+254,False,Twitter for Android,5,0
2019-10-11 11:58:34,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Kajiado, Kenya",False,Twitter for Android,119,0
2019-10-11 11:55:59,#switchoffkplc https://t.co/7ff2jHuSib,und,Kenya,False,Twitter for Android,0,0
2019-10-11 11:52:51,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 11:47:15,"RT @JerotichSeii: Thanks, gentlemen! Until next time.

@TrevorOmbija 
@WaihigaMwaura 
@DavidOsiany 
@MuthumaGabriel 
@citizentvkenya 
#DayB…",en,Nairobi,False,Twitter Web App,21,0
2019-10-11 11:40:02,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Nairobi,False,Twitter for iPhone,119,0
2019-10-11 11:31:33,"REFUND CUSTOMERS FOR THE INFLATED BILLS FROM LAST YEAR @KenyaPower_Care less talk, more action!! #SwitchOffKPLC https://t.co/rNPbAV6grm",en,nairobi 🇰🇪  ,False,Twitter Web App,0,2
2019-10-11 11:28:22,#SwitchOffKPLC https://t.co/QWVMnG6wj4,und,Nairobi,False,Twitter for Android,0,0
2019-10-11 11:26:02,RT @JerotichSeii: @RasnaWarah Prepaid is the final frontier for consumer rip offs. It's a slow bleed. You think you're in control but you'r…,en,Mombasa,False,Twitter for Android,5,0
2019-10-11 11:25:17,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,,False,Twitter for Android,13,0
2019-10-11 11:23:02,"@MWNj7 @RasnaWarah @gathara Sure! As you desire. Good luck.

#SwitchOffKPLC",en,,False,Twitter for Android,0,0
2019-10-11 11:21:02,RT @JerotichSeii: @RasnaWarah Prepaid is the final frontier for consumer rip offs. It's a slow bleed. You think you're in control but you'r…,en,nairobi 🇰🇪  ,False,Twitter Web App,5,0
2019-10-11 11:19:47,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,"Nairobi, Kenya",False,Twitter for iPhone,13,0
2019-10-11 11:19:02,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 11:16:27,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,nairobi,False,Twitter for Android,119,0
2019-10-11 11:02:23,@JerotichSeii @RasnaWarah @rebeccaturnerMD #switchoffkplc,und,Nairobi Kenya,False,Mobile Web (M2),0,0
2019-10-11 11:01:20,"@MWNj7 @RasnaWarah @gathara The theft is alive &amp; well there too.

#SwitchOffKPLC",en,,False,Twitter for Android,0,1
2019-10-11 11:00:53,@RasnaWarah Prepaid is the final frontier for consumer rip offs. It's a slow bleed. You think you're in control but… https://t.co/Rnu74PNL0o,en,,False,Twitter for Android,5,10
2019-10-11 10:57:14,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,"Nairobi, Kenya",False,Twitter Web App,13,0
2019-10-11 10:56:51,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,"Nairobi, Kenya",False,Twitter for Android,13,0
2019-10-11 10:56:32,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 10:55:24,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,Kenya,False,Twitter for Android,13,0
2019-10-11 10:53:40,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,,False,Twitter for Android,13,0
2019-10-11 10:49:46,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 10:23:31,"@KEnergyministry  @CofekRebranded, @ketercharles The Service Levels for @KenyaPower,transformer replacements are qu… https://t.co/tiI3vPL7Mf",en,"Nairobi, Kenya",False,Twitter Web App,0,0
2019-10-11 10:18:36,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,A Place Near You.,False,Twitter for Android,13,0
2019-10-11 10:13:35,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 10:13:06,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPhone,119,0
2019-10-11 10:06:56,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Solitude🍁,False,Twitter for Android,119,0
2019-10-11 10:05:56,@KenyaPower_Care @KenyaPower we have been in the dark for a week and no progress to show so far for our request to… https://t.co/ILh5OGUpoq,en,"Nairobi, Kenya",False,Twitter Web App,0,0
2019-10-11 10:04:46,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 10:03:28,"@daveharr_ 😆 @JerotichSeii has got it 💯%✔✔

KPLC needs a #SwitchOffKPLC we can no longer talk about enhancing custo… https://t.co/jnq0dGp7A6",en,🕊🇺🇬🇷🇼🇹🇿🇰🇪🇬🇭🇳🇦🕊,False,Twitter for Android,0,1
2019-10-11 10:02:41,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter Web App,119,0
2019-10-11 10:01:18,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 10:01:13,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-11 09:55:51,RT @benjabali: @KenyaPower Just #SwitchoffKplc 😕 https://t.co/cPesJCOOpR,en,"Eldoret, Kenya",False,Twitter for Android,1,0
2019-10-11 09:05:25,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPhone,119,0
2019-10-11 08:58:54,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter Web App,119,0
2019-10-11 08:52:28,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter Web App,119,0
2019-10-11 08:52:25,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 08:46:37,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Kîtûlûkû, Kenya.",False,Twitter for Android,119,0
2019-10-11 08:41:49,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi,Kenya",False,Twitter for Android,119,0
2019-10-11 08:41:29,Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable servic… https://t.co/2tebMrVgeo,en,,False,Twitter for Android,13,24
2019-10-11 08:29:49,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi , Kenya ",False,Twitter for iPhone,119,0
2019-10-11 08:29:11,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Wandsworth, London",False,Twitter Web App,119,0
2019-10-11 08:28:01,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi,Kenya",False,Twitter for Android,119,0
2019-10-11 08:22:14,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 08:11:29,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,nairobi,False,Twitter for Android,119,0
2019-10-11 08:11:15,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,country with a Rail to nowhere,False,Twitter for Android,119,0
2019-10-11 08:09:12,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 08:06:07,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,africa,False,Twitter for Android,119,0
2019-10-11 08:01:50,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Owewo City, Luhano Market ",False,Twitter for Android,119,0
2019-10-11 07:55:55,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi,Kenya",False,Twitter for Android,119,0
2019-10-11 07:53:14,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Nairobi,False,Twitter for Android,119,0
2019-10-11 07:52:49,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter Web App,119,0
2019-10-11 07:51:37,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Africa,False,Twitter for Android,119,0
2019-10-11 07:51:24,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,kenya,False,Twitter for Android,119,0
2019-10-11 07:44:07,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-11 07:36:02,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for iPhone,119,0
2019-10-11 07:29:53,"RT @eva_m_mutua: https://t.co/I5xYHNmr3Z
⁦@JerotichSeii⁩ ⁦@WanjeriNderu⁩ ⁦@KingFredAsira⁩ ⁦@hotshotcreative⁩ ⁦@NdungiGithuku⁩ ⁦@TomMboya⁩ ⁦…",und,"Lower Kabete, Nairobi",False,Twitter for Android,7,0
2019-10-11 07:28:32,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Planet Earth,False,Twitter for Android,119,0
2019-10-11 07:27:30,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 07:26:33,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
